epoch,train_loss,train_iou,train_dice,val_loss,val_iou,val_dice
0,0.45298762808248744,0.32249493869476886,0.48770687774889177,0.4129783280769786,0.341554437863745,0.5091920658957785
1,0.3928621072841799,0.3836046092517934,0.5545003343971712,0.39813104041496716,0.3686256617327989,0.5386800379967841
2,0.3728060324137253,0.4101838438795851,0.5817452038751487,0.3808714404070467,0.42253151267290523,0.594055750482431
3,0.36282125351137173,0.42427114455926573,0.5957729975503429,0.3531261545761565,0.4422361306722423,0.6132645289729515
4,0.35354402237624044,0.4348058130975443,0.6060831495501954,0.3825095758919704,0.37620401201980536,0.5467270967589525
5,0.3506597461928536,0.4361933838200512,0.60742987502121,0.35004788220969224,0.45717958306186735,0.6274855733309529
6,0.34820482552147114,0.4418057526548414,0.6128505893964299,0.3408214380021702,0.4496816713952308,0.6203867790677653
7,0.34015607978812135,0.4535621077416362,0.6240698011126948,0.34233842816138804,0.4502889189815353,0.6209644341732273
8,0.3348234639264631,0.4600569553076239,0.6301904232368704,0.3418945412980648,0.47016876300291727,0.6396119613405014
9,0.33269236372601596,0.4646571837377496,0.6344927521564632,0.3337550088949037,0.4676143904026911,0.6372442154568747
10,0.3257942270429806,0.47465820079750115,0.6437535159548213,0.32769775353464997,0.46597089846996265,0.6357164374221858
11,0.31939607237444273,0.48198734130538784,0.6504608074193616,0.336813248006483,0.4496682185331384,0.6203739763132006
12,0.3160260519294545,0.48745519946794674,0.655421688857999,0.3373572642071883,0.4418867314181877,0.6129284940205586
13,0.31436458546996815,0.4901542069079168,0.6578570253141668,0.32471504621672215,0.4691096637156648,0.6386312408145148
14,0.3081094383842992,0.5000397349962957,0.6667019857277722,0.32909119589964947,0.4782674874705428,0.6470648803741255
15,0.3029788027212366,0.5048723369837566,0.6709836104711467,0.3262447980871224,0.4797269223354374,0.6483992621804697
16,0.29765072162300427,0.5138835847192803,0.6788944538487348,0.3199151785593675,0.4882371988151316,0.656128202149287
17,0.29371556904085305,0.5201689933385332,0.6843567993005294,0.3175016197183186,0.49731074856096996,0.6642719275727148
18,0.28775526701066023,0.5286188550295187,0.6916293794103575,0.3155584466130359,0.4902271018624767,0.657922676684371
19,0.2827907690767424,0.5355788269217147,0.6975595358987312,0.31528144179288287,0.4883577819620064,0.6562370793912681
20,0.2783611152084163,0.5444959084320254,0.7050791205847848,0.3185731307824056,0.487952951754824,0.655871479241806
21,0.2735128431699927,0.552817379539108,0.7120185371742682,0.3154752336981291,0.4988602425526484,0.6656527785446623
22,0.27379065111701595,0.5526122661649872,0.7118483837950875,0.31324461615293697,0.4960288711721216,0.6631274044644455
23,0.26852223536727393,0.560559524813371,0.7184083860952487,0.31362556028841737,0.4971722310551613,0.6641483467867548
24,0.26669834527913294,0.5638346744310558,0.7210924321475178,0.3131468914393475,0.49832404875998804,0.6651752658877773
